#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,sxhkd,"Simple X hotkey daemon"
,sxiv,"is a minimalist image viewer."
A,task-spooler,"queues commands or files for download."
A,teamviewer,"All-In-One Software for Remote Support and Online Meetings"
,tldr,"Command line client for tldr, a collection of simplified and community-driven man pages."
A,tlpui-git,"A GTK user interface for TLP written in Python"
A,toggldesktop,"Toggl time tracking software"
,ttf-inconsolata,"Monospace font for pretty code listings and for the terminal"
,ttf-joypixels,"Emoji as a Service (formerly EmojiOne)"
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,ttf-opensans,"Sans-serif typeface commissioned by Google"
A,ttf-symbola,"Font for symbol blocks of the Unicode Standard (TTF)"
,unclutter,"hides an inactive mouse."
,urlscan,"Mutt and terminal url selector"
A,uuid,"OSSP Universally Unique Identifier"
,virtualbox,"Powerful x86 virtualization for enterprise as well as home use"
A,visual-studio-code-bin,"Visual Studio Code (vscode): Editor for building and debugging modern web and cloud applications (official binary version)"
A,vivaldi,"An advanced browser made with the power user in mind."
,vlc,"Multi-platform MPEG, VCD/DVD, and DivX player"
,wireless_tools,"Tools allowing to manipulate the Wireless Extensions"
,xautolock,"An automatic X screen-locker/screen-saver"
,xbindkeys,"Launch shell commands with your keyboard or your mouse under X"
,xcape,"gives the special escape/super mappings of LARBS."
,xf86-input-synaptics,"Synaptics driver for notebook touchpads"
,xorg-server-xvfb,"Virtual framebuffer X server"
,xorg-xbacklight,"enables changing screen brightness levels."
,xorg-xev,"Print contents of X events"
,xorg-xinit,"starts the graphical server."
,xorg-xinput,"Small commandline tool to configure devices"
,xorg-xlsfonts,"List available X fonts"
,xwallpaper,"sets the wallpaper."
,yad,"A fork of zenity - display graphical dialogs from shell scripts or command line"
,yarn,"Fast, reliable, and secure dependency management"
A,yay,"Yet another yogurt. Pacman wrapper and AUR helper written in go."
A,zoom,"Video Conferencing and Web Conferencing Service"
A,zsh-zplugin-git,"Flexible Zsh plugin manager with clean fpath, reports, completion management, turbo mode"
